ID,NAME,md_HHinc_Est2016
6013304005,60133040.05,110972
6013305000,60133050,47500
6013306002,60133060.02,70385
6013306003,60133060.03,49688
6013306004,60133060.04,62520
6013307101,60133071.01,68250
6013307102,60133071.02,42711
6013307201,60133072.01,45600
6013307202,60133072.02,27530
6013307204,60133072.04,55022
6013307205,60133072.05,50023
6013308001,60133080.01,63839
6013308002,60133080.02,92321
6013309000,60133090,68393
6013310000,60133100,51175
6013311000,60133110,50538
6013312000,60133120,33693
6013313101,60133131.01,43717
6013313102,60133131.02,66076
6013313103,60133131.03,87332
6013313203,60133132.03,78188
6013313204,60133132.04,66286
6013313205,60133132.05,85069
6013313206,60133132.06,54179
6013314102,60133141.02,55698
6013314103,60133141.03,43212
6013314104,60133141.04,44804
6013314200,60133142,47440
6013315000,60133150,79732
6013316000,60133160,36563
6013317000,60133170,71548
6013318000,60133180,75221
6013319000,60133190,77695
6013320001,60133200.01,75438
6013320003,60133200.03,112161
6013320004,60133200.04,96455
6013321101,60133211.01,98234
6013321102,60133211.02,114242
6013321103,60133211.03,112669
6013321200,60133212,64056
6013322000,60133220,96354
6013323000,60133230,101037
6013324001,60133240.01,85851
6013324002,60133240.02,88342
6013325000,60133250,89884
6013326000,60133260,114844
6013327000,60133270,56217
6013328000,60133280,28656
6013329000,60133290,81884
6013330000,60133300,72659
6013331000,60133310,67695
6013332000,60133320,87173
6013333101,60133331.01,80909
6013333102,60133331.02,90222
6013333200,60133332,72903
6013334001,60133340.01,80612
6013334004,60133340.04,71250
6013334006,60133340.06,120735
6013334200,60133342,145783
6013335000,60133350,74259
6013336101,60133361.01,47500
6013336102,60133361.02,37299
6013336201,60133362.01,59944
6013336202,60133362.02,41723
6013337100,60133371,95857
6013337200,60133372,67138
6013337300,60133373,122520
6013338101,60133381.01,54870
6013338102,60133381.02,103869
6013338201,60133382.01,101042
6013338203,60133382.03,93779
6013338204,60133382.04,92759
6013338301,60133383.01,134861
6013338302,60133383.02,159917
6013339001,60133390.01,72620
6013339002,60133390.02,65879
6013340001,60133400.01,68872
6013340002,60133400.02,117332
6013341000,60133410,116346
6013343001,60133430.01,98167
6013343002,60133430.02,93528
6013343003,60133430.03,128111
6013345101,60133451.01,115897
6013345102,60133451.02,125801
6013345103,60133451.03,130319
6013345105,60133451.05,115625
6013345108,60133451.08,120436
6013345111,60133451.11,121375
6013345112,60133451.12,101528
6013345113,60133451.13,157986
6013345114,60133451.14,150641
6013345115,60133451.15,165893
6013345116,60133451.16,150776
6013345202,60133452.02,114852
6013345203,60133452.03,138929
6013345204,60133452.04,183333
6013346101,60133461.01,148146
6013346102,60133461.02,187188
6013346201,60133462.01,161891
6013346203,60133462.03,128603
6013346204,60133462.04,181523
6013347000,60133470,155750
6013348000,60133480,182143
6013349000,60133490,113819
6013350000,60133500,92734
6013351101,60133511.01,49115
6013351102,60133511.02,44598
6013351103,60133511.03,71333
6013351200,60133512,200750
6013352101,60133521.01,164432
6013352102,60133521.02,171802
6013352201,60133522.01,122188
6013352202,60133522.02,113611
6013353001,60133530.01,177679
6013353002,60133530.02,161780
6013354001,60133540.01,173021
6013354002,60133540.02,219556
6013355107,60133551.07,84107
6013355108,60133551.08,93927
6013355109,60133551.09,92167
6013355110,60133551.1,81618
6013355111,60133551.11,81761
6013355112,60133551.12,162500
6013355113,60133551.13,169250
6013355114,60133551.14,165082
6013355115,60133551.15,105635
6013355116,60133551.16,188086
6013355117,60133551.17,205441
6013355200,60133552,108438
6013355301,60133553.01,114200
6013355302,60133553.02,183654
6013355304,60133553.04,130080
6013355306,60133553.06,135185
6013356001,60133560.01,83476
6013356002,60133560.02,122927
6013357000,60133570,88617
6013358000,60133580,61250
6013359102,60133591.02,70886
6013359103,60133591.03,69255
6013359104,60133591.04,74306
6013359105,60133591.05,111536
6013359202,60133592.02,85118
6013359203,60133592.03,86519
6013359204,60133592.04,116607
6013360101,60133601.01,82606
6013360102,60133601.02,114599
6013360200,60133602,68523
6013361000,60133610,69792
6013362000,60133620,70716
6013363000,60133630,74456
6013364002,60133640.02,64145
6013365002,60133650.02,40900
6013365003,60133650.03,61976
6013366001,60133660.01,55196
6013366002,60133660.02,55841
6013367100,60133671,55000
6013367200,60133672,46130
6013368001,60133680.01,44817
6013368002,60133680.02,43966
6013369001,60133690.01,40000
6013369002,60133690.02,54487
6013370000,60133700,88274
6013371000,60133710,72066
6013372000,60133720,49041
6013373000,60133730,50238
6013374000,60133740,43795
6013375000,60133750,48688
6013376000,60133760,34958
6013377000,60133770,30388
6013378000,60133780,78625
6013379000,60133790,39071
6013380000,60133800,80545
6013381000,60133810,46162
6013382000,60133820,34107
6013383000,60133830,73344
6013384000,60133840,95986
6013385100,60133851,142566
6013385200,60133852,104135
6013386000,60133860,62227
6013387000,60133870,70379
6013388000,60133880,86582
6013389100,60133891,81563
6013389200,60133892,54048
6013390100,60133901,121979
6013390200,60133902,102788
6013391000,60133910,137336
6013392000,60133920,150179
6013392200,60133922,74750
6013392300,60133923,125875
6015000101,60150001.01,27563
6015000102,60150001.02,34292
6015000104,60150001.04,25862
6015000105,60150001.05,55859
6015000201,60150002.01,50984
6015000202,60150002.02,44614
6015000203,60150002.03,31848
6017030200,60170302,51635
6017030301,60170303.01,38107
6017030302,60170303.02,36500
6017030401,60170304.01,54075
6017030402,60170304.02,33563
6017030502,60170305.02,93352
6017030504,60170305.04,70333
6017030505,60170305.05,66371
6017030601,60170306.01,92411
6017030602,60170306.02,67252
6017030603,60170306.03,52279
6017030701,60170307.01,134556
6017030704,60170307.04,102080
6017030706,60170307.06,122031
6017030709,60170307.09,126403
6017030710,60170307.1,135500
6017030801,60170308.01,94196
6017030803,60170308.03,73456
6017030804,60170308.04,89933
6017030807,60170308.07,109243
6017030808,60170308.08,80980
6017030809,60170308.09,76125
6017030810,60170308.1,57576
6017030901,60170309.01,80167
6017030902,60170309.02,94671
6017031000,60170310,41993
6017031100,60170311,48398
6017031200,60170312,54118
6017031301,60170313.01,71205
6017031302,60170313.02,38627
6017031402,60170314.02,52600
6017031404,60170314.04,69583
6017031405,60170314.05,70128
6017031406,60170314.06,76622
6017031502,60170315.02,53000
6017031503,60170315.03,70089
6017031504,60170315.04,60446
6017031600,60170316,36325
6017031700,60170317,162212
6017031800,60170318,132217
6017031900,60170319,73250
6017032000,60170320,43482
6019000100,60190001,11774
6019000200,60190002,21331
6019000300,60190003,28419
6019000400,60190004,26002
6019000501,60190005.01,17137
6019000502,60190005.02,31153
6019000600,60190006,16802
6019000700,60190007,21979
6019000800,60190008,24167
6019000901,60190009.01,25336
6019000902,60190009.02,20298
6019001000,60190010,25014
6019001100,60190011,27448
6019001201,60190012.01,26250
6019001202,60190012.02,25453
6019001301,60190013.01,26684
6019001303,60190013.03,29886
6019001304,60190013.04,27599
6019001407,60190014.07,16905
6019001408,60190014.08,16902
6019001409,60190014.09,91875
6019001410,60190014.1,58474
6019001411,60190014.11,40357
6019001412,60190014.12,65000
6019001413,60190014.13,82706
6019001414,60190014.14,67242
6019001500,60190015,40469
6019001600,60190016,38358
6019001700,60190017,50070
6019001800,60190018,52024
6019001900,60190019,49293
6019002000,60190020,22368
6019002100,60190021,29511
6019002200,60190022,35786
6019002300,60190023,33173
6019002400,60190024,24632
6019002501,60190025.01,21828
6019002502,60190025.02,20000
6019002601,60190026.01,28922
6019002602,60190026.02,43218
6019002701,60190027.01,26941
6019002702,60190027.02,24022
6019002800,60190028,20368
6019002903,60190029.03,21091
6019002904,60190029.04,38750
6019002905,60190029.05,32406
6019002906,60190029.06,38286
6019003001,60190030.01,38622
6019003003,60190030.03,22267
6019003004,60190030.04,58030
6019003102,60190031.02,38618
6019003103,60190031.03,40799
6019003104,60190031.04,42527
6019003201,60190032.01,37813
6019003202,60190032.02,28750
6019003301,60190033.01,32783
6019003302,60190033.02,28268
6019003400,60190034,25906
6019003500,60190035,34913
6019003600,60190036,58952
6019003701,60190037.01,33398
6019003702,60190037.02,30241
6019003803,60190038.03,65676
6019003804,60190038.04,55566
6019003805,60190038.05,29084
6019003807,60190038.07,27311
6019003808,60190038.08,60188
6019003809,60190038.09,42321
6019003810,60190038.1,57471
6019003900,60190039,33210
6019004001,60190040.01,49313
6019004002,60190040.02,35147
6019004100,60190041,59375
6019004205,60190042.05,39350
6019004207,60190042.07,57917
6019004208,60190042.08,81318
6019004210,60190042.1,50260
6019004211,60190042.11,69516
6019004212,60190042.12,44300
6019004213,60190042.13,61703
6019004214,60190042.14,77101
6019004215,60190042.15,70813
6019004216,60190042.16,65969
6019004301,60190043.01,104429
6019004302,60190043.02,83824
6019004303,60190043.03,81667
6019004404,60190044.04,33901
6019004405,60190044.05,89932
6019004406,60190044.06,50031
6019004408,60190044.08,64980
6019004409,60190044.09,53057
6019004503,60190045.03,59857
6019004504,60190045.04,29240
6019004505,60190045.05,32158
6019004506,60190045.06,75658
6019004601,60190046.01,55147
6019004602,60190046.02,76367
6019004701,60190047.01,34729
6019004703,60190047.03,31088
6019004704,60190047.04,25425
6019004801,60190048.01,25986
6019004802,60190048.02,28064
6019004901,60190049.01,32197
6019004902,60190049.02,51776
6019005000,60190050,39229
6019005100,60190051,27969
6019005202,60190052.02,26306
6019005203,60190052.03,31534
6019005204,60190052.04,29406
6019005301,60190053.01,40705
6019005302,60190053.02,36135
6019005304,60190053.04,30159
6019005305,60190053.05,32149
6019005403,60190054.03,20500
6019005405,60190054.05,69948
6019005406,60190054.06,69342
6019005407,60190054.07,58009
6019005408,60190054.08,17788
6019005409,60190054.09,31596
6019005410,60190054.1,50877
6019005503,60190055.03,87500
6019005504,60190055.04,96213
6019005505,60190055.05,98683
6019005507,60190055.07,94556
6019005508,60190055.08,105600
6019005509,60190055.09,62632
6019005510,60190055.1,59667
6019005512,60190055.12,84111
6019005513,60190055.13,100625
6019005514,60190055.14,86140
6019005515,60190055.15,97917
6019005516,60190055.16,77865
6019005517,60190055.17,120218
6019005518,60190055.18,101687
6019005520,60190055.2,121786
6019005522,60190055.22,114423
6019005524,60190055.24,127743
6019005525,60190055.25,106615
6019005602,60190056.02,35534
6019005605,60190056.05,90536
6019005606,60190056.06,71484
6019005607,60190056.07,30457
6019005608,60190056.08,36814
6019005701,60190057.01,41431
6019005702,60190057.02,80125
6019005703,60190057.03,77639
6019005704,60190057.04,46494
6019005801,60190058.01,53891
6019005802,60190058.02,93929
6019005804,60190058.04,52094
6019005805,60190058.05,78563
6019005904,60190059.04,81115
6019005905,60190059.05,90806
6019005906,60190059.06,84583
6019005907,60190059.07,95789
6019005909,60190059.09,98000
6019005911,60190059.11,91707
6019005912,60190059.12,93098
6019006000,60190060,49360
6019006100,60190061,41196
6019006201,60190062.01,30000
6019006202,60190062.02,42152
6019006300,60190063,66026
6019006402,60190064.02,69832
6019006403,60190064.03,64172
6019006404,60190064.04,76354
6019006405,60190064.05,59612
6019006501,60190065.01,26577
6019006502,60190065.02,28071
6019006602,60190066.02,31947
6019006603,60190066.03,45061
6019006604,60190066.04,39293
6019006700,60190067,52324
6019006802,60190068.02,34552
6019006900,60190069,31167
6019007002,60190070.02,33914
6019007003,60190070.03,47736
6019007004,60190070.04,55944
6019007100,60190071,33643
6019007201,60190072.01,61612
6019007202,60190072.02,55406
6019007300,60190073,41109
6019007400,60190074,36622
6019007500,60190075,42900
6019007600,60190076,35943
6019007700,60190077,48079
6019007801,60190078.01,44464
6019007802,60190078.02,21281
6019007901,60190079.01,
6019007902,60190079.02,55729
6019008000,60190080,60469
6019008100,60190081,43232
6019008200,60190082,30865
6019008301,60190083.01,25979
6019008302,60190083.02,28359
6019008401,60190084.01,37361
6019008402,60190084.02,40243
6019008501,60190085.01,30098
6019008502,60190085.02,30712
6021010100,60210101,39730
6021010200,60210102,40913
6021010300,60210103,50833
6021010400,60210104,39739
6021010501,60210105.01,41887
6021010502,60210105.02,49224
6023000100,60230001,26291
6023000200,60230002,41936
6023000300,60230003,42983
6023000400,60230004,42708
6023000500,60230005,28175
6023000600,60230006,48208
6023000700,60230007,57857
6023000800,60230008,61328
6023000900,60230009,57009
6023001000,60230010,22853
6023001101,60230011.01,34609
6023001200,60230012,40814
6023001300,60230013,34236
6023010102,60230101.02,32750
6023010200,60230102,49706
6023010300,60230103,48718
6023010400,60230104,53433
6023010501,60230105.01,50445
6023010502,60230105.02,48981
6023010600,60230106,59464
6023010700,60230107,47332
6023010800,60230108,47593
6023010901,60230109.01,40172
6023010902,60230109.02,49442
6023011000,60230110,47058
6023011100,60230111,42143
6023011200,60230112,45511
6023011500,60230115,37258
6023011600,60230116,35483
6023940000,60239400,25104
6025010101,60250101.01,
6025010102,60250101.02,27757
6025010200,60250102,34167
6025010300,60250103,62833
6025010400,60250104,27228
6025010500,60250105,43584
6025010600,60250106,59333
6025010700,60250107,31794
6025010800,60250108,69375
6025010900,60250109,29635
6025011000,60250110,81768
6025011100,60250111,32422
6025011201,60250112.01,81592
6025011202,60250112.02,23879
6025011300,60250113,46344
6025011400,60250114,28103
6025011500,60250115,25805
6025011600,60250116,29135
6025011700,60250117,47670
6025011801,60250118.01,90651
6025011802,60250118.02,43833
6025011803,60250118.03,93883
6025011900,60250119,43992
6025012001,60250120.01,19737
6025012002,60250120.02,59089
6025012100,60250121,20339
6025012200,60250122,34319
6025012301,60250123.01,45848
6025012302,60250123.02,29539
6025012400,60250124,25000
6025940000,60259400,29583
6027000100,60270001,44886
6027000200,60270002,84531
6027000300,60270003,89833
6027000400,60270004,38476
6027000500,60270005,54423
6027000800,60270008,36000
6029000101,60290001.01,55677
6029000102,60290001.02,42008
6029000200,60290002,27832
6029000300,60290003,28864
6029000400,60290004,23000
6029000503,60290005.03,101065
6029000504,60290005.04,43036
6029000505,60290005.05,85476
6029000506,60290005.06,61528
6029000507,60290005.07,76533
6029000600,60290006,21912
6029000700,60290007,52520
6029000800,60290008,55547
6029000902,60290009.02,54813
6029000903,60290009.03,46823
6029000904,60290009.04,47583
6029000905,60290009.05,55809
6029000906,60290009.06,48750
6029000907,60290009.07,42188
6029000908,60290009.08,57267
6029000909,60290009.09,91845
6029000910,60290009.1,65848
6029001000,60290010,62694
6029001101,60290011.01,35291
6029001102,60290011.02,29922
6029001103,60290011.03,24830
6029001201,60290012.01,26572
6029001202,60290012.02,21746
6029001300,60290013,25828
6029001400,60290014,23266
6029001500,60290015,24495
6029001600,60290016,25968
6029001700,60290017,51474
6029001801,60290018.01,49833
6029001802,60290018.02,58435
6029001901,60290019.01,42166
6029001902,60290019.02,30858
6029002000,60290020,23000
6029002100,60290021,25457
6029002200,60290022,19904
6029002301,60290023.01,27911
6029002302,60290023.02,30858
6029002400,60290024,39823
6029002500,60290025,29950
6029002600,60290026,32563
6029002700,60290027,34123
6029002804,60290028.04,48800
6029002806,60290028.06,73182
6029002807,60290028.07,99861
6029002808,60290028.08,92174
6029002811,60290028.11,120216
6029002812,60290028.12,30461
6029002813,60290028.13,35729
6029002814,60290028.14,32366
6029002815,60290028.15,38438
6029002816,60290028.16,45344
6029002817,60290028.17,39322
6029002818,60290028.18,68333
6029002819,60290028.19,64077
6029002820,60290028.2,82750
6029002821,60290028.21,72283
6029002900,60290029,34781
6029003000,60290030,30703
6029003103,60290031.03,34882
6029003112,60290031.12,46700
6029003113,60290031.13,44412
6029003114,60290031.14,52354
6029003115,60290031.15,37358
6029003121,60290031.21,35789
6029003122,60290031.22,46887
6029003123,60290031.23,87990
6029003124,60290031.24,63607
6029003202,60290032.02,49172
6029003203,60290032.03,92202
6029003204,60290032.04,113824
6029003205,60290032.05,65757
6029003206,60290032.06,75625
6029003303,60290033.03,41250
6029003304,60290033.04,48882
6029003305,60290033.05,34833
6029003306,60290033.06,41047
6029003400,60290034,32246
6029003500,60290035,47118
6029003600,60290036,51500
6029003700,60290037,41544
6029003803,60290038.03,110673
6029003804,60290038.04,90117
6029003805,60290038.05,98958
6029003806,60290038.06,102500
6029003807,60290038.07,76477
6029003808,60290038.08,74870
6029003809,60290038.09,104059
6029003810,60290038.1,134423
6029003811,60290038.11,74756
6029003812,60290038.12,70292
6029003813,60290038.13,120875
6029003900,60290039,68550
