TRI_FACILITY_ID,count,FACILITY_NAME,COUNTY,air_releases,fugitive_air,stack_air,LATITUDE,LONGITUDE
94804CLFRN530S1,2,CALIFORNIA CASTING INC,CONTRA COSTA,1850,925,925,37.92443,-122.35908
94804CMRCS1200S,1,ICI AMERICAS INC WESTERN RESEARCH CENTER,CONTRA COSTA,7,6,1,37.91662,-122.32901
94804CMRCS1415S,2,ZENECA INC RICHMOND AG PLANT,CONTRA COSTA,1104,454,650,37.915288,-122.330001
94804CSTRL801WH,2,SAFETY-KLEEN SYSTEMS INC,CONTRA COSTA,500,500,0,37.91934,-122.374694
94804PCFCR801CH,1,PACIFIC RIM PACKAGING CORP,CONTRA COSTA,20000,4000,16000,37.95475,-122.36133
94804RCCRB731WC,1,LINDE LLC,CONTRA COSTA,27549,27549,0,37.9253,-122.37673
94804RDNTC2800R,3,MAGGYCO INC RADIANT COLOR DIV,CONTRA COSTA,750,750,0,37.97228,-122.36243
94806KPPRS3501C,3,KOPPERS CO INC RICHMOND PLANT,CONTRA COSTA,70569,55400,15169,37.98024,-122.35323
94806SPRXY850MO,3,US PEROXYGEN,CONTRA COSTA,269,257,12,37.98139,-122.357085
94928CLWDD5600S,2,CAL-WOOD DOOR INC,SONOMA,49000,0,49000,38.35672,-122.70929
94953SLPTC1500C,1,SOLA OPTICAL USA INC,SONOMA,58600,44400,14200,38.23412,-122.5942
95002PPLCM600EH,1,APPLE COMPUTER INC,SANTA CLARA,9580,480,9100,37.2943,-121.93946
95008DLXCH1551D,1,DELUXE CHECK PRINTERS INC,SANTA CLARA,20693,7433,13260,37.26378,-121.95666
95008KKMNF1500D,1,K & K MANUFACTURING INC,SANTA CLARA,14065,0,14065,37.26483,-121.95585
95014DGTLQ10500,2,DIGITAL EQUIPMENT CORP,SANTA CLARA,9211,0,9211,37.32987,-122.00904
95014KSRCMNAXXX,1,LEHIGH SOUTHWEST CEMENT CO,SANTA CLARA,25,10,15,37.3181,-122.091
95020BLDNM6200E,1,BOLIDEN METECH INC WESTERN DIV,SANTA CLARA,750,0,750,36.98989,-121.55472
95020GLRYF1350P,2,GILROY FOODS INC,SANTA CLARA,48775,1000,47775,37.0032,-121.53963
95020SCNTF8100C,4,SCIENTIFIC GAMES INTL,SANTA CLARA,2500,1500,1000,37.01885,-121.56013
95035CKPNT201SI,1,COOK COMPOSITES & POLYMERS CO,SANTA CLARA,1467,520,947,37.43159,-121.88765
95035DMNTC304TU,5,DOMAIN TECH,SANTA CLARA,72579,61271,11308,37.42623,-121.89835
95035DMNTC690GI,1,AMC SUBSTRATES INC,SANTA CLARA,30000,30000,0,37.41693,-121.88897
95035JNSCH985MO,6,JONES CHEMICALS INC,SANTA CLARA,2502,1500,1002,37.41448,-121.8845
95035KMGNC487SO,1,KOMAG INC BUILDINGS 2 & 4,SANTA CLARA,730,730,0,37.42683,-121.89209
95035LSLGC1601M,3,LSI LOGIC CORP,SANTA CLARA,11495,0,11495,37.40563,-121.91784
95035PCBNG1478G,1,PCB ENGINEERING INC,SANTA CLARA,500,250,250,37.410664,-121.888024
95035RDRTC345LO,3,READ RITE CORP,SANTA CLARA,30080,30080,0,37.42941,-121.90007
95035SLCTR2001F,1,MMC TECHNOLOGY INC.,SANTA CLARA,50500,50500,0,37.40103,-121.89274
95035SLCTR678SO,1,SOLECTRON CORP EASD & QSD,SANTA CLARA,6000,6000,0,37.424534,-121.891074
95035SLCTR901WR,1,"SOLECTRON CORP, EASD",SANTA CLARA,14200,14200,0,37.42803,-121.88908
95035SRRCH1001Y,1,SCOTTS-SIERRA HORTICULTURAL PRODS CO INC,SANTA CLARA,10,0,10,37.42439,-121.88766
95035XCRNC851BU,1,XICOR INC,SANTA CLARA,2216,2216,0,37.40655,-121.91547
95050CNTNR2500D,2,CONTAINER CORP OF AMERICA FOLDING CARTON DIV,SANTA CLARA,56000,28000,28000,37.36696,-121.94145
95050LSLGC3115A,5,LSI LOGIC CORPORATION,SANTA CLARA,16063,0,16063,37.37859,-121.9586
95050NSHCM365RE,2,STORMEDIA INC,SANTA CLARA,8650,8650,0,37.3612,-121.93767
95050PRCSN1500S,8,ANALOG DEVICES INC SANTA CLARA SITE,SANTA CLARA,19259,9345,9914,37.37624,-121.95591
95050RTSNS999MA,1,ARTISANS OF CA INC,SANTA CLARA,17800,0,17800,37.36623,-121.95179
95050SGMCR393MA,3,TTM TECHNOLOGIES-SANTA CLARA,SANTA CLARA,750,750,0,37.36263,-121.93983
