geometry,SAMPLE_DATE,SITE_ID,SITE_NAME,SITE_TYPE,Total Coliform,Enterococcus,E. Coli
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-07-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,882,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-07-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,292,,4569
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-07-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,135,,6488
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-07-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,426,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-07-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,441,,2613
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-06-24T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,471,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-06-17T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,238,,4352
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-06-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,677,,4352
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-06-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,199,,2755
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-05-28T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,3654
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-05-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,426,,9804
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-05-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,313,,11199
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-05-06T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,161,,1725
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-04-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,160,,1872
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-04-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,216,,4352
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-04-15T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,109,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-04-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,211,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-04-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,141,,2382
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-03-25T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,373,,4106
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-03-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,538,,3255
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-03-11T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,495,,5172
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-03-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,2098,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-02-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,74,,4106
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-02-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1246,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-01-28T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,275,,3448
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-01-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,275,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-01-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,199,,6131
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2019-01-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1050,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-12-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,565,,8164
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-12-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,443,,11199
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-11-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,771,,12997
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-11-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,663,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-11-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,521,,4884
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-10-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,609,,9208
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-10-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,637,,4352
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-10-15T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,581,,12033
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-10-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,708,,12033
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-10-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,933,,7701
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-09-24T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,657,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-09-17T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,2723,,8164
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-09-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,860,,4884
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-08-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,488,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-08-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,862,,7701
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-08-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,712,,6131
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-07-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,426,,6867
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-07-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,187,,9208
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2018-07-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,243,,5172
