site_no,datetime,Q,waterTmax,waterTmin,EC
10343500,1970-08-30,3.50,15.0,7.8,NA
10343500,1970-08-31,3.20,14.4,7.2,NA
10343500,1970-09-01,3.20,13.9,6.1,NA
10343500,1970-09-02,3.20,13.3,5.6,NA
10343500,1970-09-03,3.20,13.3,5.6,NA
10343500,1970-09-04,3.30,NA,NA,NA
10343500,1970-09-05,3.60,NA,NA,NA
10343500,1970-09-06,3.50,NA,NA,NA
10343500,1970-09-07,3.40,NA,NA,NA
10343500,1970-09-08,3.30,13.9,6.7,NA
10343500,1970-09-09,3.20,13.9,6.1,NA
10343500,1970-09-10,3.20,13.3,6.1,NA
10343500,1970-09-11,3.20,13.3,5.6,NA
10343500,1970-09-12,3.00,12.2,6.1,NA
10343500,1970-09-13,3.00,10.6,5.0,NA
10343500,1970-09-14,3.20,10.6,3.3,NA
10343500,1970-09-15,3.20,10.6,3.9,NA
10343500,1970-09-16,3.20,11.1,3.9,NA
10343500,1970-09-17,3.10,11.7,5.0,NA
10343500,1970-09-18,3.10,11.7,5.6,NA
10343500,1970-09-19,3.10,9.4,7.2,NA
10343500,1970-09-20,3.20,9.4,3.3,NA
10343500,1970-09-21,3.20,9.4,3.9,NA
10343500,1970-09-22,3.20,10.0,3.9,NA
10343500,1970-09-23,3.20,10.6,4.4,NA
10343500,1970-09-24,3.20,10.0,4.4,NA
10343500,1970-09-25,3.20,8.9,3.3,NA
10343500,1970-09-26,3.00,9.4,2.8,NA
10343500,1970-09-27,3.00,10.0,3.3,NA
10343500,1970-09-28,3.00,10.6,3.9,NA
10343500,1970-09-29,3.00,10.6,4.4,NA
10343500,1970-09-30,2.90,10.6,4.4,NA
10343500,1970-10-01,2.90,10.0,4.4,NA
10343500,1970-10-02,3.00,10.0,3.9,NA
10343500,1970-10-03,3.00,10.6,4.4,NA
10343500,1970-10-04,3.00,10.6,5.6,NA
10343500,1970-10-05,3.00,10.0,5.0,NA
10343500,1970-10-06,3.00,8.9,5.6,NA
10343500,1970-10-07,3.10,6.7,2.2,NA
10343500,1970-10-08,3.10,7.8,2.2,NA
10343500,1970-10-09,3.20,8.9,3.9,NA
10343500,1970-10-10,3.10,8.9,3.9,NA
10343500,1970-10-11,3.10,8.9,3.3,NA
10343500,1970-10-12,3.10,8.9,5.0,NA
10343500,1970-10-13,3.10,7.8,3.3,NA
10343500,1970-10-14,2.90,7.2,2.8,NA
10343500,1970-10-15,2.90,7.2,2.2,NA
10343500,1970-10-16,3.00,7.2,2.2,NA
10343500,1970-10-17,3.00,7.2,2.8,NA
10343500,1970-10-18,3.20,6.7,4.4,NA
10343500,1970-10-19,3.20,7.2,2.8,NA
